Engine Type of Tugboat,Engine Power of Tugboat(kW),Distance(nautical miles),Towing Speed of Tugboats(meters per second),Tow Type of the vehicle being towed ,Tow Size/weight of the vehicle being towed(tonnes),Wind Speed(meters per second),Current Speed of towed vehicle(meters per second),Wave Height(meters per second),Sea State(Significant Wave Height (SWH)),Water Depth(meters per second),Wind Direction,Maintenance History of the tugboat,Fuel Consumption(Litres),"Pilotage Point(latitude, longitude)","Berthing Point(latitude, longitude)","Waypoints which tugboat has to cover in its route (latitude, longitude)",Traffic (number of vehicles in the route)
Diesel,1000,27,5.520279723,Ship,8799,5.246096139,0.864321444,2.580952929,4.623153671,6.367007846,N,Good,1028.947553,"(57.71771331836615, -3.6233987032752566)","(1.6777658005699152, -83.71105776013476)","[(39.110303281121986, -155.10842739259726), (61.98106532773454, 54.920322071979285), (-84.40560885120401, 15.416895650274228)]",88
Diesel,3000,17,9.207930787,Barge,2285,14.68238333,1.098944479,2.164914721,4.912378648,12.81829605,NW,Average,698.1044701,"(58.91173072380923, 149.77137433708805)","(20.594789599333367, -21.887472379619652)",[],73
Diesel,2000,41,3.134971139,Other,2689,17.21720945,1.287273079,0.243398474,1.471867013,12.65472417,NW,Good,525.9676334,"(-15.269232414328016, -28.758171448848913)","(39.6869454830786, 68.30891452315205)",[],22
Diesel,1000,18,6.167890855,Other,4364,0.779316407,1.736953294,1.648319405,0.61804708,13.86210809,W,Poor,547.4220354,"(-54.88545502913078, 168.5694909629168)","(8.962619083304773, 122.25863632164919)",[],88
Diesel,3000,16,8.100583456,Barge,1439,0.880594895,0.729817835,1.058763529,1.794155097,14.02150005,SW,Good,532.7280059,"(3.987065431886805, -49.32277646566655)","(52.57963649126651, -42.81482081474968)","[(39.951211727600025, -94.89936422559133), (-88.54346137327225, 168.6435576303802)]",50
Diesel,3000,6,6.10321359,Other,9375,6.155122832,1.155446934,2.505311318,3.802950243,19.33699659,NW,Poor,1047.357845,"(-7.304342323384262, 89.41483218179258)","(-39.67181739582912, 31.178916989900358)","[(-59.1875628071035, 19.999205436230994), (-37.585818501110595, -1.5080111377733374)]",92
Diesel,3000,25,9.311283705,Barge,5101,3.442722829,0.222986663,1.188634257,3.74132807,10.54274049,W,Poor,1208.446278,"(-53.337044058656424, -138.55345503972788)","(58.5005790190892, 134.42008628116815)","[(-17.82246541559131, -161.14397405518807), (-29.84179351645318, 165.64035001621392), (54.332321778177146, -6.881007455008557), (29.559897835547247, -0.681324643744432)]",68
Diesel,1000,1,8.498664966,Barge,9109,9.965823302,0.237987103,1.160435479,2.474670701,7.093830131,SE,Average,919.398665,"(44.64994080726882, 121.26037747149434)","(71.90363059665745, 93.89672303782305)",[],78
Diesel,3000,8,9.494363852,Other,6143,14.51650411,1.724740369,1.606090624,1.027778477,6.433387627,SW,Poor,842.1647324,"(-86.38361208950919, -134.7538247873527)","(-2.29300046061428, -48.751535906990085)",[],51
Diesel-Electric,2000,6,6.605249414,Ship,4530,0.031160017,0.464311457,1.559329138,4.588417686,13.02064009,N,Average,532.262993,"(80.74583541597312, -18.52471361848319)","(12.23346601631259, -162.03328307304025)",[],43
Diesel,1000,31,2.029596561,Ship,4840,1.281862988,1.627634635,2.698086342,2.585133072,18.24898299,NW,Good,546.9174934,"(-61.772475040595545, 44.6302229947365)","(-17.124943971245187, 129.76784692598585)","[(-21.233579552390268, 168.77944036272044)]",80
Diesel,2000,29,8.118376755,Other,9860,13.99501282,0.912378312,1.68082271,4.004456653,18.80027743,NW,Poor,1456.865852,"(-82.54806601125159, 55.86330534789454)","(62.31503856957087, -95.07836733655184)","[(-5.373324051927966, -81.10670374176276)]",97
Diesel-Electric,2000,15,5.858059641,Other,9817,17.61402511,1.789120019,0.422671141,1.656766314,12.24179831,E,Good,1157.441789,"(66.25057422540519, -7.792143140931188)","(-15.666775844920863, 28.521233963449248)","[(-24.869075299576792, 73.19642308781258)]",62
Diesel,3000,46,4.154183449,Other,9140,19.87487414,1.394684538,2.006128405,0.196130473,14.51577779,NE,Poor,1487.277316,"(-89.6265495413274, -48.82732209384142)","(-3.9260359700316343, -53.18799674856828)",[],12
Diesel,3000,15,7.143767505,Other,4502,11.48275761,1.194462738,1.406119191,0.757494532,18.62046147,S,Good,771.6695377,"(-15.151879495223852, 111.53617893815283)","(-50.82768010393495, 159.80636258601015)","[(-71.55667234682171, 52.85031332934366)]",1
Diesel-Electric,1000,3,3.497324924,Other,2216,5.795090399,1.825094339,2.064431892,1.882859016,17.84717966,SE,Poor,232.0919748,"(-36.892625237247735, -12.320106004523666)","(21.259455376903006, 19.947439690964018)","[(6.6717127176648034, 103.01969248247161), (21.734749100795526, 116.85965426888652)]",30
Diesel,3000,8,2.486957793,Barge,1719,0.516957299,1.679051751,1.233372834,0.806731661,6.322105114,SW,Average,231.586987,"(-20.63135161654914, 170.78201000087984)","(-26.806598504333984, -15.195547143391138)","[(75.2205847823648, 107.0894691490044), (57.84417967187716, 64.80621977532596), (-50.035371513203415, -126.825504204047), (-47.068951571397676, 175.04508956046635)]",66
Diesel-Electric,2000,3,3.802211011,Barge,9669,10.09624608,1.042709388,2.492663999,3.850235619,13.21197472,SE,Poor,989.7132661,"(54.83159770689747, 130.00604534922326)","(31.751197403601438, -20.52336918195465)","[(69.80745654203835, 121.70364424675739), (59.2108654678122, -73.9498428660574)]",24
Diesel,2000,43,8.737958389,Ship,6280,8.332580131,0.417228637,1.82743083,3.404940943,11.17998678,S,Average,1379.464421,"(88.10367442935856, -12.689937298935945)","(-5.909752632993474, 102.04873551692265)",[],3
Diesel-Electric,3000,34,3.238643412,Other,8794,13.98454454,0.913101461,2.957754493,4.937961191,5.544169122,W,Average,1209.741628,"(48.573197227476925, -32.20719855363501)","(35.23582644838292, 77.46992225990783)","[(-16.727221576988967, -11.056919122548805)]",88
Diesel,1000,35,3.641386092,Other,2110,18.985449,0.987840037,2.155579029,0.433995387,11.88906842,S,Good,338.4485132,"(23.64037602386132, -36.83923009520751)","(35.76336720272438, -140.69363874036412)","[(-2.493410842736637, 146.4141908734374)]",60
Diesel-Electric,1000,28,4.568731004,Other,5148,9.935278853,1.422828426,0.382097514,4.207795986,9.144512584,W,Good,642.7244681,"(-10.230798501014206, 154.91830056581108)","(-8.660051023622344, 76.0374813483478)",[],92
Diesel,1000,4,8.527435766,Other,5493,17.64655715,1.336097104,1.897341019,2.52094722,13.25273508,NE,Poor,583.4097431,"(-58.74804770878326, -72.09993037115831)","(70.59895590968341, 69.48001892053881)","[(13.030292169703415, -12.220565600963454), (-24.593420734097577, 99.22394536344768), (-68.14967717051836, -136.25680416007896)]",18
Diesel-Electric,2000,11,3.069309899,Other,8304,5.936899924,0.809650155,2.217367349,4.668985342,15.76596564,NW,Good,897.9248178,"(20.54686332723395, -105.98235173117737)","(-46.01986999352039, -26.90525404865471)","[(62.177399648773985, 53.32845948678957)]",58
Diesel-Electric,3000,19,6.340878008,Barge,6176,17.9934982,0.186201067,1.776990775,0.207113242,11.7261866,NW,Poor,979.0300465,"(-18.69698262492085, 64.21879063772278)","(-87.69771314561224, -113.83680400195912)","[(-40.355324282754715, -116.4730659690169)]",6
Diesel,2000,17,6.528556904,Barge,7412,7.678370134,0.698562607,0.399263177,2.840061479,11.46381658,SW,Good,963.1709347,"(66.22583033269322, 100.93207137781832)","(-38.10056016815278, -87.02258606305112)","[(-53.39631946460018, 153.02869212955693), (-28.290376966758032, 37.8115988711576), (-46.75493735244012, -176.9344421204597)]",29
Diesel,2000,38,2.968334139,Barge,9651,8.91584021,0.247035834,1.168353199,4.387259584,8.111229919,E,Good,1190.693395,"(83.38630808517865, -55.294526628312724)","(38.655025017792326, -3.376863731482757)","[(-0.4930824406976342, -11.369032627036688), (65.05372348500595, -78.3527760648521), (75.2860395197381, -172.5516443665235), (36.13231958561492, -46.16737575603722)]",23
Diesel-Electric,1000,19,9.332074716,Ship,8023,9.359429606,0.848358643,0.097071713,3.928901326,15.54851766,S,Poor,979.6094196,"(-69.82467461375647, 4.02256445791113)","(43.76951353259025, -57.88816023854157)","[(22.591282708518108, 21.099421739693952), (4.9818098905122525, 93.71585917438381)]",57
Diesel,1000,4,4.912747208,Other,7576,6.240302421,0.666314739,0.461553644,2.756799941,8.238853817,NE,Good,777.2509888,"(66.29853542561955, -109.90140053713462)","(-57.243186411338016, 38.47119801630902)","[(-40.61477019934866, 129.92542546473982), (-58.81829129719554, 169.83438924278568), (3.435817181428149, 67.91852500550857)]",43
Diesel-Electric,1000,8,9.310577784,Barge,3235,1.055477089,0.484837244,0.210946928,3.745156091,9.311239928,W,Good,397.9846223,"(27.03821090942516, -73.62542959546104)","(49.50411153992681, 155.14871367701488)","[(36.60568033743745, 121.21870021658026)]",58
Diesel,1000,49,3.345056981,Ship,5966,15.62373227,1.84651597,0.895927486,0.371888378,12.28901004,NW,Good,760.507792,"(10.160907584169351, -136.8373796639932)","(23.61734159830766, -71.72224133209599)","[(74.60684305938167, -29.58893272982266), (-0.5579498796839744, -110.23733249406304), (16.098191829352785, -75.13660201623553), (1.845363036934657, -80.14756579904677)]",41
Diesel,1000,46,8.386146797,Other,4756,13.99548588,0.017292319,2.387451788,1.413130619,8.536359064,SW,Poor,861.3627526,"(83.11008008372451, 132.19945714636367)","(62.54803567562382, -147.31290408846172)","[(-1.7559880470750784, 125.42748387384972)]",56
Diesel-Electric,2000,20,7.665563192,Barge,9949,12.64100478,1.485080252,1.763945206,1.346718447,13.24573397,SE,Good,1301.522528,"(42.67485284783896, -118.79396434435675)","(19.81991226237136, -112.81222387831772)","[(-61.33929097069834, 59.45888238133648), (5.159414377859605, 31.119196079307983)]",51
Diesel-Electric,2000,14,2.881815378,Ship,7433,7.43774821,0.595540353,1.302722753,2.925006561,16.19009678,NW,Poor,823.9908306,"(64.4178772775409, 135.2238512228335)","(70.70458785917134, -173.90399079533302)","[(-66.61765917818603, 133.19839904551492), (53.025392951966154, -103.92211330486472)]",66
Diesel,3000,30,8.177325374,Other,8771,19.59389947,0.54064549,0.736921418,3.135456807,13.16704149,E,Good,1613.059284,"(65.26597176576135, -169.39703760629672)","(17.279741976898677, 169.16789665945117)","[(43.53984235346121, 44.42842016100664), (-25.84600415007398, -128.53717710435075), (34.74665708807419, 65.61609996400895)]",40
Diesel-Electric,3000,16,9.202442531,Other,2813,10.96701137,1.447696908,2.257652218,2.143036514,11.59138553,SE,Poor,723.0172415,"(54.57076100147387, 37.65545713154154)","(-6.996673671362046, -72.49213403585806)","[(-25.44154366450168, -79.45050979932886), (-19.490735117243545, -37.03525862804548)]",71
Diesel,2000,33,6.129869645,Barge,3665,0.758854645,0.200625539,1.263036814,4.630225373,11.68459791,N,Average,771.0713966,"(-45.67198802115607, -152.29706689113124)","(-32.591953868126005, -54.18171321198315)",[],94
Diesel-Electric,3000,8,2.891250816,Barge,8137,19.17157037,1.606025604,2.24154304,4.195760764,7.537664664,SE,Average,883.0900196,"(49.12751800237504, -168.77380337246302)","(52.85340877541287, 102.75716371878377)","[(65.16448404992366, 177.09192103695796), (33.46116274718284, 113.24361458573412), (66.75629030987488, 71.28597102011082)]",2
Diesel,1000,42,5.157629351,Barge,4066,18.27126346,1.078128499,2.255108451,2.60194635,17.21194251,E,Average,623.2204327,"(70.29030321142122, 175.53028934079424)","(49.2451893014713, -71.05403100078604)","[(-13.875481181047192, -170.58475846785626), (-72.2150313926948, 93.2352247508245)]",12
Diesel,1000,11,5.882156828,Barge,4121,18.52952955,1.015024245,0.754115879,1.75623962,15.4038564,SW,Average,476.8037251,"(0.7187529007751152, -51.615668964840125)","(19.335606912509263, 90.02276360577798)","[(13.294081652074084, -85.51221926091225), (49.637736892705504, -2.081872980564924), (-34.79505899487468, -148.23796595737048), (-7.181400857790081, -28.25610686331234)]",63
Diesel,1000,10,8.413053685,Barge,6832,15.76440806,1.673356401,0.170249403,0.223599179,14.21418544,E,Good,767.3305369,"(18.569021380420438, 164.410870540142)","(54.919575855821506, -97.19230613771326)","[(32.736786527798344, 167.4827254558818), (62.361196261212996, -121.27853551682763)]",19
Diesel,3000,45,6.832690289,Ship,4309,1.592030294,1.433045284,1.369780751,3.201669552,18.18868315,SE,Average,1353.313189,"(-73.2082305173382, 178.37913884017547)","(67.20797837642084, -5.610867567405791)","[(-60.60696560128287, -68.5003612781085)]",94
Diesel-Electric,2000,6,6.680067365,Ship,8043,16.80084927,1.356312353,0.34525149,0.291343981,19.59110278,E,Average,884.4608084,"(80.36746411621439, 99.4864244480757)","(49.20824327024903, -122.03934277350352)","[(32.77891784652007, -170.98073459088977), (-31.711629237826713, 26.08085456511975), (-83.04971166587038, -12.97775198464035)]",78
Diesel-Electric,3000,44,5.520422085,Ship,1443,5.675875445,1.812681822,0.334032682,1.962504889,9.611608471,NE,Poor,872.9957152,"(-77.46371182593882, -112.35998916117944)","(62.39365322000248, -147.890634979301)","[(-63.5628977618331, 163.73761941128157), (16.61244801867447, -107.30614754304669), (35.071945470148975, -75.48711693935648)]",1
Diesel,1000,26,7.849679182,Ship,2084,14.81484074,0.985361821,1.16079287,4.471287062,18.58016271,NE,Average,412.4916587,"(-69.84243412949824, -95.24037934084693)","(-89.95881345523873, 146.87123947419832)","[(-34.49228524297672, 155.819753814102), (-50.12907150771869, 51.16037658436045)]",21
Diesel-Electric,3000,40,8.50391006,Barge,8073,19.589533,0.384148325,2.842816037,4.147891063,5.153066766,NW,Average,1827.769207,"(-33.504834620429236, -65.55777011762466)","(-83.78336960725156, 119.6629673624285)","[(-38.00262352829987, -22.234026129059743)]",39
Diesel-Electric,1000,47,4.550074621,Ship,1421,10.43351256,0.618494061,2.63839736,1.128062389,13.38210734,SW,Good,355.9535072,"(-69.10571477974216, 28.449828121267075)","(-86.08728736678779, 81.02907682006139)","[(-17.700782951790686, 168.5739478766344), (59.67569054484335, -73.19053948336608), (-60.43419670782744, -72.91563634059384), (11.643457670971571, -69.6482862255517)]",12
Diesel-Electric,3000,13,6.099180361,Barge,8750,15.1931451,1.202895407,1.30862054,1.281372073,18.10931485,SE,Poor,1112.868034,"(41.34486937680117, -70.43739976070651)","(-46.40764383883571, -99.8794898053007)","[(5.130660418510757, -120.81562266704576), (-12.641608849530087, -176.59359640130086), (-19.934326348087765, -3.782765190703344), (-64.38495526249866, 129.3474602992075)]",58
Diesel-Electric,1000,24,2.694382709,Barge,2675,5.881247824,1.56351796,1.340015557,3.744800077,15.70068029,NE,Average,332.165185,"(-72.34760800307205, -74.32596604291089)","(64.19356679257109, 23.600053926204282)","[(-38.49109629185018, 10.924957867294097), (-1.8929574399859774, -163.52858445123945)]",99
Diesel-Electric,2000,8,6.023811333,Barge,8601,10.04388061,1.285352455,2.755939236,3.626154186,5.423716415,SE,Average,956.4809813,"(-31.305980926515062, 127.41595990484501)","(-51.59577201177355, 65.70699081817102)","[(83.86811796945295, -156.21858966742624)]",67
Diesel,1000,46,5.210810217,Ship,2669,16.75791714,1.171042083,1.430749366,1.897583078,11.89508462,E,Good,506.59727,"(-43.914616174926, 13.865420441638037)","(22.521964502953864, -152.385763230271)","[(-30.177342776529414, -132.06113172173832), (-67.12391847841225, -103.88801456429758), (-63.987133467733514, 4.130549685585322)]",37
Diesel-Electric,1000,25,5.929881059,Barge,2785,18.19713938,0.320505702,2.003180511,4.275762267,10.37501395,S,Average,426.7470265,"(-17.858236488729887, 84.89538756305336)","(-81.37888439763543, -38.603614787047576)","[(-30.28861728923087, 135.95038243739435), (-27.683257715930978, 103.06742980764642)]",73
Diesel,3000,17,3.706530914,Other,4334,10.62282861,0.965225466,0.674297897,1.125893707,9.300116347,SW,Poor,622.4330766,"(83.46828647372467, 80.80918561066267)","(-59.5123972755317, -49.53158228096257)","[(23.110510083232725, -64.78512481366252)]",27
Diesel,3000,29,2.122392052,Barge,8087,15.10330761,0.66149636,0.765437967,0.310138972,6.673002752,NW,Average,993.3481085,"(38.561358261199445, 90.69570514232817)","(-0.5144542964103636, 87.97489589442318)","[(56.70925118012369, 105.06668552230781), (42.61024513753972, 8.563059585266757), (-51.56829711579962, 138.13448563639906)]",84
Diesel,2000,19,3.968864421,Ship,9806,12.25210981,1.226350564,0.758350185,2.604617644,6.372503332,NW,Good,1131.416848,"(54.23462850454223, 88.39381637794077)","(-57.2802082651402, -46.776314454172706)","[(-33.240964551723266, -121.79360326077627), (55.14024861588982, -142.93323617185385), (55.44189343839571, -97.71156398988111)]",19
Diesel,1000,45,5.26450172,Ship,8960,2.188105718,1.000587538,0.269045722,1.213609601,15.33876536,NE,Average,1132.902577,"(80.9317832807113, -61.7925959564341)","(-22.901882958771466, 87.82624174394374)",[],38
Diesel,2000,12,2.267619919,Barge,2649,10.08682246,1.765397357,0.295320445,0.863581625,6.777005078,NE,Average,319.3228781,"(57.913053432781226, 30.18036536056539)","(-72.61970676741586, -169.27381911665904)","[(-81.91065600939848, 17.37068602877551)]",92
Diesel-Electric,1000,41,6.089517014,Ship,2667,13.92664631,0.820284391,1.567602583,1.227502372,13.1742459,W,Poor,516.3701976,"(-10.073524891685992, 48.32186100854679)","(-74.0311378424931, -138.8888109635014)",[],92
Diesel-Electric,1000,15,3.297420377,Ship,9919,6.367026188,1.463431494,1.212685031,0.988149018,9.728105126,SW,Good,1041.361306,"(71.37513148407984, -38.97218152442426)","(39.729055843215065, -68.85802101349033)","[(81.28305984721186, 171.72045216262177), (-25.694303569065667, -20.688541883324064), (-71.53744890559045, -111.7527678948771)]",91
Diesel,3000,7,3.979938061,Barge,5073,8.798198022,1.805478366,0.980402156,2.117328118,14.7017624,N,Good,590.8786993,"(-29.487656687600825, -106.59292404222344)","(6.137062374141095, -75.65369460871828)","[(-0.5493874390562752, -40.50181871884837), (11.014254236979781, 33.54231946674804), (-8.804813431199179, -26.42938969909747), (53.06626928394405, -50.36022507809375)]",34
Diesel,1000,35,9.018482167,Ship,3251,18.62017938,0.753501152,2.298561669,0.941130562,11.89675011,SW,Poor,640.7468758,"(-7.818433947549153, 83.90039078344529)","(11.948934820809143, -167.0771757509602)","[(-21.141566388850933, -32.69097762274342), (13.434495117163024, 62.99946890680894), (70.30378374157036, 65.12383523313648), (-60.456128383754304, -78.33935210286693)]",70
Diesel,1000,10,3.616002218,Other,7657,0.053112533,1.695540554,0.5654734,4.153115822,5.136476314,E,Good,801.8600222,"(-48.768442418136054, -0.2871398881304401)","(-13.100737505717504, -66.45867728037975)","[(24.44545294793204, -54.344822359560155)]",71
Diesel-Electric,2000,42,8.025017234,Other,9883,9.785468004,0.163577248,1.908656051,3.275357695,13.10265163,S,Average,1662.401448,"(-71.62517289151529, 121.70152053301427)","(71.64911847879253, 29.555282153143054)",[],98
Diesel,3000,45,7.801842367,Barge,2602,1.969866962,1.020401606,2.586588595,0.703464081,17.50892264,S,Good,1313.44872,"(46.24226331807739, 120.05890333589304)","(78.9349879151628, -103.01250503135361)","[(26.51616875897487, -142.42458936273817), (-71.06434522378073, 90.79809761695606), (38.12916159730685, -173.84300688819397)]",38
Diesel,2000,9,6.326485037,Ship,5290,14.12064182,0.783749611,2.560888941,2.523898275,9.484316641,S,Good,642.8767307,"(29.309629003824625, -118.32753231110212)","(57.27592564248883, 19.654208366755256)","[(1.772323426394209, 2.9326037187603617), (39.8895066807502, 83.96247640843666), (13.602745864081413, -134.92317083513345), (-57.23208717461586, 4.803669734790674)]",91
Diesel,2000,38,2.409636913,Ship,8966,16.70903046,0.402850785,2.854396494,4.106485425,10.01819534,SW,Average,1079.732405,"(21.820354809518122, -109.06233939909441)","(52.40418703632557, 96.81807124257449)",[],34
Diesel-Electric,3000,32,2.606890142,Barge,5755,1.382203612,0.996422145,1.811044854,3.458258267,11.55670115,E,Good,825.7614536,"(50.00100953691589, -138.71278971276448)","(14.574349652476585, 59.909953717972144)",[],74
Diesel,2000,23,5.448853542,Other,6498,3.160165525,1.298810915,1.963114516,4.382369761,14.48962898,S,Poor,900.4472629,"(-44.34437643740477, 138.55306471848513)","(40.33156216100096, 46.582053114816546)","[(14.44272300743549, 27.617621937827863), (-77.67548017577235, -137.20202878510617), (-69.69855441949252, 47.36159070198437)]",33
Diesel,3000,2,2.023788469,Ship,6401,6.191537914,1.532742305,2.387311552,1.671040435,17.53321174,N,Poor,652.2427308,"(85.11485637687773, 154.82717494928022)","(6.369855985544163, -0.35645171641252205)",[],44
Diesel,3000,6,3.512465407,Other,9675,2.932429902,0.092861614,1.870736669,0.291678245,7.638372501,NE,Average,1030.724377,"(-73.73136653385735, -166.5283598787642)","(-34.435949965461106, -36.645660190314885)","[(-62.9061781335913, 122.88336800868217), (-87.27250141985962, 84.72960211308617)]",14
Diesel,3000,12,7.638063875,Other,4076,9.034884326,0.902449849,0.516769296,3.19446702,19.94223608,E,Average,682.5702995,"(1.8466339563478584, -167.17144301683436)","(15.018618046975945, -95.66965345249848)","[(27.25206986270753, 99.6420923967749)]",27
Diesel,3000,14,3.563347185,Barge,6254,17.87419864,0.196491519,1.439621681,0.183108251,18.93489738,W,Poor,775.0605818,"(-50.665617733137964, 10.405055570225613)","(-13.8256083136923, 88.3581351943264)","[(-81.50465236827031, 8.589322281851452), (-24.351566141841644, 153.07356397208105)]",0
Diesel,1000,32,5.313955497,Other,2892,9.251258101,0.222213205,2.912654622,3.298907099,9.075817031,W,Good,459.2465759,"(0.7028168630360199, 71.53299177637822)","(-59.851965261469026, 96.56049412689185)",[],35
Diesel-Electric,1000,46,2.200303152,Barge,8763,13.75703194,0.099322196,0.761018783,1.801822346,15.3476452,SW,Good,977.513945,"(83.90473702378318, 50.89140040601109)","(52.053892534595406, 114.72887063076399)","[(76.11929598004625, -160.55864057851844), (-10.63920154927213, 102.80661986898906)]",4
Diesel-Electric,1000,22,4.267718996,Ship,3481,11.94969985,1.414752943,2.235468797,4.217458859,7.049609886,NE,Poor,441.9898179,"(-47.7333766191755, -121.22999014553227)","(56.610655806879095, 151.41897018480358)","[(34.06930153559183, 111.2141754049535), (-13.824770872757838, -23.76580431976106)]",95
Diesel,2000,47,7.844777739,Other,6769,7.648105393,1.969346549,0.786844523,2.809392655,15.48147957,S,Poor,1414.309107,"(84.56219543150777, 20.162213087728446)","(-13.081186956450324, -109.2834913504492)",[],61
Diesel,1000,48,5.508341702,Barge,2443,12.57027018,0.997991183,0.206046017,4.49153929,17.61253713,N,Good,508.7004017,"(-33.44343546973414, 143.60569659513231)","(79.20959084948927, 130.51432526637564)","[(-7.900651987933344, -115.45319374119137), (-86.33376368824013, -128.0648189522344)]",37
Diesel-Electric,3000,14,6.303825853,Other,4234,1.394562595,0.265316768,2.04604268,1.403818418,18.44847086,N,Good,688.1606858,"(-7.353216490231347, -124.27850085826867)","(16.017163377790837, -152.85323099706025)",[],77
Diesel-Electric,1000,13,4.644131438,Ship,4859,0.110369305,0.480669022,2.751426567,1.893203871,11.96459738,S,Poor,546.2737087,"(-89.17489050081201, -2.9674519555757684)","(89.7123099092912, -145.16790095099694)","[(40.494687757987464, 142.56375950886616), (34.131531449465896, -120.85468500802132)]",48
Diesel,3000,23,2.07947709,Ship,6814,3.89082053,1.871339089,0.495009562,1.500364667,15.66312839,N,Poor,824.8839192,"(42.501645388200245, -18.95768428438805)","(41.14908055739866, -91.15687227945712)","[(-68.25766704178227, -149.46196731314316), (-88.81256170279742, 169.4426660589566), (-21.886303109307164, -76.51001427021532), (86.71628737684048, -140.59198756382366)]",90
Diesel-Electric,3000,30,2.754606313,Barge,2000,16.72481716,1.200754912,1.151048146,1.722310502,17.57265195,S,Average,447.9145681,"(-12.894326041693645, 178.52455683703403)","(40.02554130695361, 117.85347903339363)","[(50.209849495651326, -128.20985666378542), (76.79695831458105, -171.28510094194846), (16.313298148993212, -6.094753890069683), (6.334979296403361, 152.13907993798108)]",2
Diesel-Electric,3000,17,7.731671048,Other,2260,18.92887488,0.289499616,0.839275254,3.58484552,8.848922283,SW,Poor,620.3152235,"(87.91788222972977, -107.43575205479851)","(14.313453594791255, -124.17945919791435)","[(-41.12548173464525, 69.8464983736007), (85.65282192067818, -157.56869002288167)]",70
Diesel-Electric,2000,30,9.562968191,Ship,2665,0.197754368,0.147113482,2.823226743,1.897490304,6.607188002,E,Average,840.2780915,"(-71.23697230821244, -103.239927892591)","(40.12549244771412, 57.171856579120345)","[(58.455907722123754, 126.75190280117374)]",27
Diesel-Electric,2000,10,5.952363204,Ship,8857,15.22680493,1.322045519,0.428921046,0.95859748,17.02535259,S,Average,1004.747264,"(4.669920587622897, 121.27115266617074)","(-48.74352322797275, -105.72564181869377)",[],50
Diesel,1000,25,9.293379237,Other,4142,7.863413395,1.212266198,1.871307867,0.390140154,11.6197748,S,Good,646.5344809,"(23.20177598895303, -176.6383561726942)","(26.443746717101703, 174.36673222626115)","[(-48.5575817528128, 168.3938002884401)]",13
Diesel-Electric,2000,7,5.345929138,Other,5333,12.27443514,0.297053825,0.255781055,2.417574557,17.67265399,NE,Good,608.1430079,"(-60.81446856728385, 164.55392096478823)","(-54.481575951728075, -85.92124664437942)","[(36.187727997512525, -84.91071786712806), (-48.39643976061899, -101.94025692722278)]",22
Diesel-Electric,1000,44,3.878777,Ship,8511,15.00727257,0.220779278,2.678035186,3.475096677,16.24085306,N,Good,1021.766188,"(-72.53082051770198, -91.65642545405812)","(42.481134125239464, -99.8647402163642)","[(-83.74270942415278, -94.73762978801575), (-68.83911665809266, -13.77575984486441)]",46
Diesel-Electric,1000,10,7.046641046,Other,3424,3.055171638,1.369360168,2.530490594,1.858324404,9.40393021,N,Average,412.8664105,"(-36.40320836958638, -28.01358067119631)","(-16.574168935062303, 131.49085254253458)","[(-4.853190225141859, 163.253525426384)]",93
Diesel-Electric,1000,6,9.670724514,Ship,3864,11.91550847,0.391542608,1.639469952,0.533771919,8.639868046,E,Poor,444.4243471,"(-44.375103533977736, 55.64795596925239)","(22.791125134579787, 164.9207836204352)","[(12.841501302127185, -139.9798333512097), (-34.959072101357194, -87.88891979096239)]",2
Diesel,3000,46,6.243400949,Other,4974,17.77955143,1.52226601,1.180695313,1.097424522,19.91073755,NW,Good,1358.989331,"(3.9221919011701942, -4.846020727932654)","(40.618394430213186, -146.91533992370205)","[(76.68741284415569, -110.43860056565869), (18.678082294639964, 65.55470490961295)]",60
Diesel-Electric,2000,25,5.568969095,Barge,8497,16.1259799,0.064608847,0.787969458,4.090303282,6.834789678,SW,Poor,1128.148455,"(5.0002753932535455, 140.07248489156802)","(-40.91840049239622, -88.05568230341373)","[(8.616435007806984, -63.01895915718325), (-80.46329604852767, -127.1808202625694), (-79.86742741298224, -7.853141405043772)]",25
Diesel,3000,27,3.430873805,Barge,1531,18.60718675,1.16003545,0.895328871,4.696895435,17.96265476,SW,Poor,431.0007782,"(-85.80729776280693, -93.26869493426148)","(86.71297196332429, 71.9570312250211)","[(-8.517301230616852, 145.81043147730134), (-82.4496109833664, -145.6004897197106), (-33.94346198777622, -125.41484544086227), (-1.4424485029313132, 70.75482770142204)]",22
Diesel,1000,18,2.403411234,Barge,8979,3.769481063,0.424330105,0.999159793,2.759581124,12.62612889,E,Good,941.1614022,"(-23.016032202157618, -13.775375561448413)","(-16.57605642172122, -123.5784841369883)","[(57.992875518733285, -70.82136649078957)]",43
Diesel,2000,46,2.571339494,Ship,9781,10.48337287,0.768498098,0.458979456,3.410622335,10.31335213,SE,Average,1214.663233,"(65.49633060294775, -61.798990656967035)","(37.52915347232404, -163.96260856657915)",[],28
Diesel-Electric,1000,17,2.049051041,Ship,5339,6.17183938,0.564530551,1.980703639,3.45082671,13.89535352,SW,Average,568.7338677,"(55.83357831149388, -172.63774636929378)","(-75.10763945443462, -10.016957215005448)",[],36
Diesel-Electric,1000,22,4.795419519,Barge,3569,2.44612563,1.536760684,2.651788628,3.358617519,12.69374708,S,Good,462.3992294,"(38.68688155637258, -20.946568723775925)","(-45.992978217704824, 112.9505465038709)",[],76
